scriptures,numbers
"No scriptures",109
"Book of Mormon",110
"Bible, Book of Mormon",111
"Alma 29, Book of Mormon, New Testament, D&C 130",112
"No scriptures",113
"Book of Mormon",114
"No scriptures",115
"No scriptures",116
"No scriptures",117
"No scriptures",118
"No scriptures",119
"No scriptures",120
"No scriptures",121
"Bible, Genesis, Exodus, Ex. 12, Leviticus 23, Numbers, Numbers 28, Numbers 29, Deuteronomy, Joshua 1, Judges, 2 Kings 24, 2 Kings, 2 Kings 23, Ps. 137, Isaiah 1, Je 37, Je 36, Je 20, Je 35, Jer. 22, Jer. 36, Jer. 24, Jer. 25, Jer. 26, Jer. 37, Jer. 20, Jer. 33, Lamentations 4, Daniel 1, Hosea, Amos, Micah, Nahum, 1 Nephi 7, 1 Nephi 10, 1 Nephi 1, 1 Nephi, 2 Ne. 25, 2 Ne. 5, Jacob 4, Jarom 1, Omni 1, Mosiah 2, Mosiah 1, Alma 25, Alma 30, Alma 10, Helaman 13, 3 Nephi 8, 3 Ne. 1, Book of Mormon, New Testament, Matt. 2, Moses.",122
"No scriptures",123
"Book of Mormon, New Testament, Matthew 25, Luke 10, John 11, John 12, John 1",124
"No scriptures",125
"Revelation, Doctrine and Covenants, Doctrine and Covenants 120, D&C 104",126
"No scriptures",127
"Book of Mormon, Revelation, Doctrine and Covenants, Doctrine and Covenants 86, Doctrine and Covenants 133, Doctrine and Covenants 98, Doctrine and Covenants 76, D&C 1, D&C 67, Facsimile",128
"No scriptures",129
"Hosea",130
"Moses.",131
"Book of Mormon",132
"No scriptures",133
"No scriptures",134
"No scriptures",135
"Bible, Genesis, Book of Mormon, Moroni 10, Revelation, Doctrine and Covenants, D&C 107",136
"Genesis 12, Genesis 19, Genesis 18, Exodus, Ex. 22, Leviticus 19, Leviticus 18, Jer. 7, Ezekiel, Ezek, Ezekiel 16, Zechariah 7, Omni 1, Mosiah 4, Mosiah 8, Alma 43, Alma 63, Helaman 6, Helaman 3, Book of Mormon, New Testament, Matt. 2, Luke 2, Acts 8, Acts 11, Acts 18, Gal. 3, Ephesians, Eph. 2, James 1, 1 Peter, D&C 45, D&C 87, Abr. 2",137
"No scriptures",138
"Proverbs, Proverbs 31, Isaiah 6, Jacob 5",139
"No scriptures",140
"Bible, Numbers 6, 1 Nephi 1, 1 Nephi 19, Jacob 6, Jacob 2, Mosiah 1, Mosiah 26, Alma 51, Alma 1, 3 Nephi 5, 3 Nephi 19, Book of Mormon, Moroni 4, Moroni 10, New Testament, Ephesians 1, Ephesians 5, Ephesians",141
"No scriptures",142
"Bible, Genesis, Genesis 2, Genesis 1, Genesis 14, Psalms, Psalms 110, Psalms 2, Psalms 109, Isaiah 52, Micah 5, Micah, Malachi 4, Mosiah 1, Alma 33, Alma 25, 3 Nephi 21, Book of Mormon, New Testament, Matthew 22, Hebrews 1, Doctrine and Covenants, Doctrine and Covenants 124, D&C 10, D&C 107, D&C 124",143
"Bible, Book of Mormon, Joseph Smith Translation",144
"Bible, Genesis 20, Genesis 7, Book of Mormon, Doctrine and Covenants, Moses 7, Abr. 2, Abr. 1, Joseph Smith Translation, JST",145
"Mosiah 2, Mosiah 9, Mosiah 29, Mosiah 1, Book of Mormon, New Testament, Matt. 26, Matt. 24, Matt. 12, Mark 13",146
"No scriptures",147
"No scriptures",148
"Bible, Doctrine and Covenants 116, Articles of Faith",149
"No scriptures",150
"No scriptures",151
"No scriptures",152
"No scriptures",153
"No scriptures",154
"Col.",155
"Rev. 5",156
"No scriptures",157
"No scriptures",158
"No scriptures",159
"Exodus 14, Numbers 20, Doctrine and Covenants 105",160
"Bible, Deuteronomy 14, 1 Nephi, 1 Nephi 18, 1 Ne. 18, 2 Nephi 5, Enos 1, Mosiah 1, Mosiah 8, Mosiah 20, Alma 51, Alma 17, Alma 18, Alma 5, Alma 34, Alma 45, Helaman 7, Helaman 6, Helaman 15, 3 Nephi 8, 3 Nephi, 3 Ne. 7, 3 Ne. 15, 3 Ne. 6, 3 Ne. 8, 4 Ne., Book of Mormon, Ether 9, Ether 6, Ether 10, Ether 3, Ether 2",161
"No scriptures",162
"D&C 93",163
"No scriptures",164
"No scriptures",165
